130		1800	912,41	48	4,364	13	4,364	39,28	1979,5	533,5	2513	78,8	21,2	16546	0,0325	0,0423	0,01517	0,3159	0,1876	1600
131		1800	912,41	42	4,364	19	4,364	39,28	1732	779,8	2511,8	69	31	17946	0,033	0,0428	0,01517	0,3159	0,1876	1591
132		1800	912,41	33	4,364	28	4,364	39,28	1360,9	1149,1	2510	54,2	45,8	19427	0,0337	0,0435	0,01517	0,3159	0,1876	1578
133		1900	962,85	54	4,483	7	4,483	40,35	2350	303,2	2653,2	88,6	11,4	16308	0,0303	0,04	0,01558	0,3139	0,1863	1660
134		1900	962,85	48	4,483	13	4,483	40,35	2088,9	563	2651,9	78,8	21,2	17461	0,0308	0,0404	0,01558	0,3139	0,1863	1651
135		1900	962,84	42	4,483	19	4,483	40,35	1827,8	822,9	2650,6	69	31	18938	0,0312	0,0408	0,01558	0,3139	0,1863	1643
136		1900	962,84	33	4,483	28	4,483	40,35	1436,1	1212,6	2648,7	54,2	45,8	20501	0,0319	0,0415	0,01558	0,3139	0,1863	1629
137		2000	1013,76	54	4,6	7	4,6	41,4	2474,3	319,2	2793,5	88,6	11,4	17170	0,0288	0,0383	0,01598	0,3119	0,1851	1710
138		2000	1013,76	48	4,6	13	4,6	41,4	2199,3	592,8	2792,1	78,8	21,2	18384	0,0292	0,0387	0,01598	0,3119	0,1851	1701
139		2000	1013,76	42	4,6	19	4,6	41,4	1924,4	866,4	2790,8	69	31	19940	0,0297	0,0391	0,01598	0,3119	0,1851	1692
140		2000	1013,76	33	4,6	28	4,6	41,4	1512,1	1276,8	2788,8	54,2	45,8	21585	0,0303	0,0397	0,01598	0,3119	0,1851	1679
141		2000	1012,58	72	3,764	19	3,764	41,4	2208,8	580,1	2788,9	79,2	20,8	18602	0,0292	0,0387	0,01603	0,3117	0,1851	1701
142		2000	1012,58	63	3,764	28	3,764	41,4	1932,8	854,9	2787,6	69,3	30,7	19700	0,0297	0,0391	0,01603	0,3117	0,1851	1692
143		2000	1012,58	54	3,764	37	3,764	41,4	1656,6	1129,6	2786,3	59,5	40,5	21135	0,0301	0,0395	0,01603	0,3117	0,1851	1684
144		2250	1139,54	72	3,993	19	3,993	43,92	2510,2	659,2	3169,4	79,2	20,8	20600	0,0262	0,0353	0,017	0,3073	0,1823	1813
145		2250	1139,54	63	3,993	28	3,993	43,92	2196,4	971,5	3167,9	69,3	30,7	21877	0,0266	0,0357	0,017	0,3073	0,1823	1803
146		2250	1139,54	54	3,993	37	3,993	43,92	1882,6	1283,7	3166,4	59,5	40,5	23529	0,027	0,036	0,017	0,3073	0,1823	1794
147		2500	1266,16	72	4,209	19	4,209	46,3	2789,1	732,5	3521,6	79,2	20,8	22888	0,0236	0,0324	0,01793	0,3033	0,1798	1921
148		2500	1266,16	63	4,209	28	4,209	46,3	2440,4	1079,4	3519,9	69,3	30,7	24308	0,024	0,0327	0,01793	0,3033	0,1798	1912
149		2500	1266,16	54	4,209	37	4,209	46,3	2091,8	1426,4	3518,2	59,5	40,5	26143	0,0243	0,0331	0,01793	0,3033	0,1798	1903
150		2750	1393,13	72	4,415	19	4,415	48,57	3068,8	805,9	3874,7	79,2	20,8	25184	0,0215	0,0301	0,0188	0,2997	0,1775	2025
151		2750	1393,14	63	4,415	28	4,415	48,57	2685,2	1187,7	3872,9	69,3	30,7	26746	0,0218	0,0304	0,0188	0,2997	0,1775	2014
152		2750	1393,13	54	4,415	37	4,415	48,57	2301,6	1569,4	3871	59,5	40,5	28765	0,0221	0,0307	0,0188	0,2997	0,1775	2004
153		3000	1520,89	72	4,613	19	4,613	50,74	3350,2	879,8	4230	79,2	20,8	27493	0,0197	0,0281	0,01964	0,2964	0,1754	2121
154		3000	1520,89	63	4,613	28	4,613	50,74	2931,4	1296,6	4228	69,3	30,7	29199	0,02	0,0285	0,01964	0,2964	0,1754	2109
155		3000	1520,89	54	4,613	37	4,613	50,74	2512,7	1713,3	4226	59,5	40,5	31403	0,0202	0,0287	0,01964	0,2964	0,1754	2100
